measurement,same_genre,different_genres
similarity,0.02,0.02
similarity,0.01,-0.02
similarity,0.04,0.02
similarity,0.14,0.01
similarity,0,0.05
similarity,-0.07,0.19
similarity,-0.04,0.04
similarity,0.1,0.13
similarity,0.11,0.07
similarity,0.03,0.24
similarity,0.01,0.17
similarity,-0.02,0.11
similarity,0.07,0.02
similarity,0.05,0.04
similarity,0.05,0.07
similarity,0.19,0.11
similarity,0.21,0.06
similarity,0.05,0.19
similarity,0.01,0.14
similarity,0.04,0.03
similarity,0.05,0.06
similarity,-0.01,0.07
similarity,0.03,0.03
similarity,0.07,0.04
similarity,-0.01,0.06
similarity,0.04,0.13
similarity,0.04,0.03
similarity,0.05,0.15
similarity,0.04,0.06
similarity,0.07,0
similarity,0.04,0.1
similarity,0.12,0.11
similarity,0.05,0.07
similarity,0.01,0.05
similarity,0.08,0.06
similarity,0.07,-0.04
similarity,-0.07,0.19
similarity,0.01,0.12
similarity,0.05,0.05
similarity,-0.01,0.14
similarity,0.02,0.09
similarity,0.01,-0.02
similarity,-0.03,0.1
similarity,0.05,0.11
similarity,0.03,0.13
similarity,0.03,0.03
similarity,0.08,0.09
similarity,0.1,0.12
similarity,0.03,0.01
similarity,0.11,-0.01
similarity,0.01,0.06
similarity,0.02,-0.02
similarity,-0.03,0.13
similarity,0.21,0.01
similarity,0,0.09
similarity,0.07,0.16
similarity,0.12,0
similarity,0.04,0.22
similarity,0,0.06
similarity,0.18,0.19
similarity,-0.05,0.12
similarity,0,0.11
similarity,0.11,-0.01
similarity,0.07,0.01
similarity,0.06,0.01
similarity,0.08,0.01
similarity,0.08,0
similarity,0.25,0.26
similarity,0.03,0.02
similarity,0.03,0.16
similarity,-0.05,0.01
similarity,0.08,0.05
similarity,0.1,0.04
similarity,0.01,0
similarity,0.23,-0.03
similarity,0.11,0.27
similarity,0.05,0
similarity,0.14,0.28
similarity,0.07,-0.05
similarity,0.04,0.02
similarity,0.1,0.17
similarity,0.09,0.11
similarity,0.09,-0.01
similarity,0.25,-0.02
similarity,0.09,0.03
similarity,0.1,0.07
similarity,0.16,0.19
similarity,0.25,0.1
similarity,0.1,0.05
similarity,0.25,0.18
similarity,0.03,0.21
similarity,0.16,0.18
similarity,0.09,0.18
similarity,-0.04,0.06
similarity,0.09,0.16
similarity,0.04,0.07
similarity,0.03,0.25
similarity,0.02,0.06
similarity,0.07,-0.05
similarity,0.22,0.12
similarity,0.12,0.04
similarity,-0.03,-0.04
similarity,0.09,-0.03
similarity,0.01,0.05
similarity,0.01,0.12
similarity,0.01,0.01
similarity,0.03,0.05
similarity,0.04,0.01
similarity,-0.01,0.23
similarity,-0.03,0.07
similarity,0,0.3
similarity,0.01,0
similarity,0,-0.01
similarity,0.02,0.05
similarity,0.04,0.24
similarity,0.02,0.19
similarity,0.08,0.2
similarity,0.04,-0.05
similarity,0,0.06
similarity,0.01,0.02
similarity,0.02,0.01
similarity,0.06,0.28
similarity,0.13,0.06
similarity,-0.03,0.02
similarity,-0.01,0.09
similarity,0.04,0.05
similarity,0.01,0.11
similarity,0.04,0.09
similarity,0.02,0.12
similarity,0.01,0.1
similarity,0.1,0.17
similarity,0.06,0.22
similarity,-0.01,0.07
similarity,0.12,0.01
similarity,0.02,0.06
similarity,-0.09,0.04
similarity,0.11,0
similarity,0.08,-0.01
similarity,0.07,0.01
similarity,0.07,0.07
similarity,-0.09,0.01
similarity,0.14,0.09
similarity,0.22,0.1
similarity,0.11,0.05
similarity,0.21,-0.08
similarity,0.07,-0.01
similarity,-0.01,-0.03
similarity,0.01,0.3
similarity,0.01,0.23
similarity,0.01,0.07
similarity,0.07,0.02
similarity,-0.05,0.09
similarity,0.1,0.01
similarity,0.08,0.14
similarity,0.15,0.08
similarity,0.04,0.27
similarity,0,0.02
similarity,0.04,0.14
similarity,-0.01,0.07
similarity,0.03,0.27
similarity,0,0.04
similarity,0.02,0.05
similarity,0.02,0.04
similarity,0,0.11
similarity,0,0.05
similarity,0.06,0.01
similarity,0.08,0.04
similarity,0.09,0.21
similarity,0.02,0.14
similarity,0,0.06
similarity,-0.03,0.01
similarity,0.02,0.05
similarity,0,0.06
similarity,0.02,0.02
similarity,-0.02,0.12
similarity,-0.07,0.22
similarity,0.05,-0.03
similarity,0.01,0.16
similarity,0.09,0.01
similarity,0.02,0.02
similarity,0.01,0.16
similarity,0,0.11
similarity,-0.04,0
similarity,0,0.06
similarity,-0.01,0.04
similarity,0.02,0.01
similarity,0.01,0.25
similarity,0.06,0.08
similarity,0.01,0.19
similarity,0.02,0.03
similarity,0.02,0.26
similarity,0.04,0.01
similarity,0,0.09
similarity,0.04,0.06
similarity,-0.02,0.1
similarity,0.01,0.26
similarity,0,0.1
similarity,0.02,0.01
similarity,0.02,-0.07
similarity,-0.03,0.13
similarity,0.01,-0.04
similarity,-0.01,0.03
similarity,-0.01,0.15
similarity,0.3,0.02
similarity,0.02,0.14
similarity,-0.07,0.23
similarity,0.01,-0.03
similarity,0.08,0.28
similarity,0.16,0.1
similarity,-0.01,0.13
similarity,0.02,0.05
similarity,0,0.03
similarity,0.03,-0.02
similarity,0.14,-0.03
similarity,0.11,0.04
similarity,0.1,0.01
similarity,0.07,0.06
similarity,0.14,0.11
similarity,0.02,-0.05
similarity,0.31,0.09
similarity,0.12,-0.06
similarity,0.08,0.05
similarity,-0.03,0
similarity,0,0.03
similarity,0.03,0.01
similarity,0.25,0.4
similarity,0.08,0
similarity,-0.03,0.09
similarity,-0.01,0.02
similarity,-0.03,0.03
similarity,0.13,0.18
similarity,0.03,0.03
similarity,0.01,0.01
similarity,0.01,0.01
similarity,0.05,-0.01
similarity,0.07,0.15
similarity,0.05,0.1
similarity,0.05,0.05
similarity,0.03,0.05
similarity,0.15,0.13
similarity,0.01,0.32
similarity,0.25,0.06
similarity,0.12,0.17
similarity,0.12,0.06
similarity,-0.08,0.07
similarity,0.06,-0.06
similarity,0,0.03
similarity,-0.02,0.17
similarity,-0.02,-0.01
similarity,-0.01,0.07
similarity,0.01,0.11
similarity,-0.03,0.04
similarity,0,0.14
similarity,-0.04,0
similarity,-0.03,0.08
similarity,-0.01,0.12
similarity,0,-0.06
similarity,0.05,0.24
similarity,0.01,0.03
similarity,-0.01,0.07
similarity,-0.03,0.01
similarity,-0.06,0.14
similarity,0.06,-0.03
similarity,0.05,-0.02
similarity,-0.01,0.05
similarity,-0.01,0.03
similarity,0.05,0.01
similarity,0,0.05
similarity,0.02,-0.03
similarity,0.02,0.2
similarity,-0.11,0.01
similarity,-0.03,0.12
similarity,-0.03,-0.01
similarity,0.07,0.09
similarity,0.08,0.03
similarity,-0.02,0.2
similarity,0.08,0.06
similarity,0.2,0.2
similarity,0.14,0.07
similarity,0.07,0.01
similarity,-0.05,0.09
